ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata
ALL,1.4463660712098099,original,Distress,2025-03-31,1.0,0,,0.24769670287684198,0.4653137781019616,0.007111782634746138,0.5521959564811135,0.23687291239300176,0.14290428183152282,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 115161000000, 'total_liabilities': 93109000000}"
ALL,1.4998357975471275,original,Distress,2024-12-31,1.0,0,,0.22200023293942678,0.4774183144144709,0.02284598224284831,0.5696887901606649,0.23758448753462605,0.14784486234175798,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 111617000000, 'total_liabilities': 90250000000}"
ALL,1.4519680624395805,original,Distress,2024-09-30,1.0,0,,0.24497331703929032,0.45396200205726944,0.013381043229033874,0.5534084636133685,0.2247134169312739,0.14625075828842216,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 113743000000, 'total_liabilities': 92905000000}"
ALL,1.4410039345897037,original,Distress,2024-06-30,1.0,0,,0.2341927506274915,0.4680163886018013,0.004872287021999114,0.5725754586781001,0.20706052675538728,0.145125867414735,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 108368000000, 'total_liabilities': 89795000000}"
ALL,1.5023505757403812,original,Distress,2024-03-31,1.0,0,,0.23248543818473788,0.481390332665026,0.014832622266987202,0.5925982101635527,0.2148315487373359,0.1449150046084701,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 105241000000, 'total_liabilities': 86761000000}"
ALL,1.525403820495745,original,Distress,2023-12-31,1.0,0,,0.23914978425340067,0.4809891449468857,0.018710938255838704,0.5997108817244436,0.20727383007511782,0.14346665118709004,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 103362000000, 'total_liabilities': 85732000000}"
ALL,1.449893285751221,original,Distress,2023-09-30,1.0,0,,0.23140863445876492,0.47927374080809676,0.0006622123823831739,0.5928168583979984,0.1682597516401665,0.14334427136870403,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 101176000000, 'total_liabilities': 86729000000}"
ALL,1.421489849820956,original,Distress,2023-06-30,1.0,0,,0.24573691227092742,0.4851662454981396,-0.01641562369421175,0.6038666382279017,0.18224847901153368,0.13922438665260561,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 100514000000, 'total_liabilities': 85142000000}"
ALL,1.5285315197543332,original,Distress,2023-03-31,1.0,0,,0.2649275827804599,0.5057462034908814,-0.00321185173289438,0.6250384559799654,0.2126723236645676,0.13814977266111952,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 99631000000, 'total_liabilities': 82258000000}"
ALL,1.5282917202163881,original,Distress,2022-12-31,1.0,0,,0.24179244609088776,0.5201604261702845,-0.003428956311422711,0.6376902402698881,0.216902736090095,0.13861759993468656,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 97989000000, 'total_liabilities': 80626000000}"
ALL,1.5248729630066833,original,Distress,2022-09-30,1.0,0,,0.24496293869527827,0.5271509889839879,-0.008446291821941931,0.6417576397927979,0.22059539412095114,0.13572423113149595,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 97676000000, 'total_liabilities': 80115000000}"
ALL,1.5420772166150165,original,Distress,2022-06-30,1.0,0,,0.24234561494551116,0.5439750908147379,-0.012745199792423455,0.6736159802950502,0.2635406021539187,0.1275869226777374,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 96350000000, 'total_liabilities': 76326000000}"
