ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata
APH,6.6682864525416905,original,Safe,2025-03-31,1.0,0,,0.19833115740477947,0.32511865724103906,0.04474698826745146,9.362316349792891,0.8221425892080417,0.21006807236017658,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 22902100000, 'total_liabilities': 12529700000}"
APH,7.201605252142814,original,Safe,2024-12-31,1.0,0,,0.2612942043451087,0.3313868340780403,0.04448186117666813,10.126554084305212,0.8452965702989442,0.20138804675329522,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 21440200000, 'total_liabilities': 11584100000}"
APH,8.061281598685415,original,Safe,2024-09-30,1.0,0,,0.19765031451678786,0.344666489665877,0.041841965525692346,11.662128202966557,0.939724420408001,0.20621272771832366,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 19585600000, 'total_liabilities': 10058800000}"
APH,8.416813679414396,original,Safe,2024-06-30,1.0,0,,0.1891665052617987,0.34174790711687864,0.04136268749865496,12.30110369514382,0.9416754925914663,0.19420771730475392,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 18586800000, 'total_liabilities': 9536300000}"
APH,9.950108738401392,original,Safe,2024-03-31,1.0,0,,0.21639108984900582,0.3685752728359994,0.04095081477051876,14.740951151434423,1.090928511290667,0.19472566900882046,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 16722500000, 'total_liabilities': 7957900000}"
APH,9.79763130898432,original,Safe,2023-12-31,1.0,0,,0.22283134863007067,0.3582812953819344,0.04175137961080453,14.482526348226521,1.0304448203064236,0.20134451544195953,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 16526400000, 'total_liabilities': 8099900000}"
APH,10.13846289489897,original,Safe,2023-09-30,1.0,0,,0.24522495082175266,0.3597753664572625,0.04174757281553398,14.999554409196108,1.0046159550935339,0.20300780506377308,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15759000000, 'total_liabilities': 7820700000}"
APH,10.311391770462773,original,Safe,2023-06-30,1.0,0,,0.23701428674554892,0.3474757020324323,0.040681458731189994,15.343075123992884,0.9827482473579575,0.20041475531405245,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15237900000, 'total_liabilities': 7645600000}"
APH,9.899506628417093,original,Safe,2023-03-31,1.0,0,,0.25795923674544097,0.3329519227643598,0.03846828982869031,14.672547238023764,0.9140838023764853,0.19334915320352372,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15381500000, 'total_liabilities': 7995000000}"
APH,9.657382273136264,original,Safe,2022-12-31,1.0,0,,0.24813717686053946,0.32489462489071,0.04346804817893542,14.249950215376392,0.8522248272008357,0.2113504978402996,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15326200000, 'total_liabilities': 8232100000}"
APH,9.43224518984689,original,Safe,2022-09-30,1.0,0,,0.243212632220375,0.316275773451937,0.04511223415176945,13.884130094449047,0.7777133388566694,0.21825551897946072,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15097900000, 'total_liabilities': 8449000000}"
APH,9.411512116316635,original,Safe,2022-06-30,1.0,0,,0.24891733005918817,0.3038682512461548,0.04329345193212377,13.892022354752374,0.7655313706449397,0.20931396427356017,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 14986100000, 'total_liabilities': 8444200000}"
