Date,Dividends
2007-10-01 00:00:00-04:00,3.688312
2008-04-07 00:00:00-04:00,0.481818
2009-03-30 00:00:00-04:00,0.350649
2011-04-26 00:00:00-04:00,0.7
2012-11-29 00:00:00-05:00,11.87
2013-04-26 00:00:00-04:00,0.706
2014-04-25 00:00:00-04:00,0.835
2015-04-24 00:00:00-04:00,0.811
2016-05-03 00:00:00-04:00,1.145
2017-04-28 00:00:00-04:00,1.307
2018-04-27 00:00:00-04:00,1.718
2019-04-26 00:00:00-04:00,2.386
2019-11-04 00:00:00-05:00,1.17
2020-04-24 00:00:00-04:00,1.458
2020-11-02 00:00:00-05:00,1.396
2021-05-03 00:00:00-04:00,1.87
2021-11-02 00:00:00-04:00,2.084
2022-05-03 00:00:00-04:00,4.19
2022-08-04 00:00:00-04:00,1.396
2022-11-03 00:00:00-04:00,1.34
2023-02-06 00:00:00-05:00,1.472
2023-05-01 00:00:00-04:00,1.858
2023-08-01 00:00:00-04:00,1.593
2023-11-01 00:00:00-04:00,1.53
2024-02-05 00:00:00-05:00,1.556
2024-04-26 00:00:00-04:00,1.873
2024-07-29 00:00:00-04:00,1.643
2025-02-11 00:00:00-05:00,1.57
2025-04-28 00:00:00-04:00,1.919
