ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata
COIN,6.104134520907817,original,Safe,2025-03-31,1.0,0,,0.4841202013381249,0.231305858550681,0.0324792142618708,8.33094685834723,0.9294555174101993,0.09361255525860146,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 21731006000, 'total_liabilities': 11262766000}"
COIN,5.691789853015069,original,Safe,2024-12-31,1.0,0,,0.4512179535835208,0.22007416305713734,0.04587309235123437,7.650115871289851,0.8378924312861794,0.10077375290186728,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 22541951000, 'total_liabilities': 12265109000}"
COIN,0.25974576869971344,original,Distress,2024-09-30,1.0,0,,0.03041427359811691,0.012629895996748443,0.0005834038136636447,0.33292886924943954,0.03096940335972028,0.0038842318517715367,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 290558608000, 'total_liabilities': 281830486000}"
COIN,0.26405474234563203,original,Distress,2024-06-30,1.0,0,,0.029735634204660882,0.012525231246049068,0.0011956997102162683,0.336803340256761,0.030047083366757793,0.0048088443577999854,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 286959173000, 'total_liabilities': 278588404000}"
COIN,0.21923657021789117,original,Distress,2024-03-31,1.0,0,,0.023291659167093567,0.010223296220757919,0.0021850037287901867,0.2759971518167331,0.023740627809559125,0.00416516111327032,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 348036477000, 'total_liabilities': 339965483000}"
COIN,7.383299704851638,original,Safe,2023-12-31,1.0,0,,0.39797711805169356,0.12338065708858965,0.007089650391445625,11.074919044428801,0.7414379317329088,0.0646469703165285,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 14753901000, 'total_liabilities': 8472252000}"
COIN,0.5370134901466159,original,Distress,2023-09-30,1.0,0,,0.04414916720667304,0.012151147009681703,-0.0006270344991514316,0.7729943132263954,0.0487799221762059,0.005295509596416403,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 127305595000, 'total_liabilities': 121384470000}"
COIN,0.4958630100117315,original,Distress,2023-06-30,1.0,0,,0.04157787935139392,0.011254395413894929,-0.0005345055768927954,0.7113907630407114,0.04363065282285711,0.005142811789925324,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 137650575000, 'total_liabilities': 131895872000}"
COIN,0.4890594126013315,original,Distress,2023-03-31,1.0,0,,0.04049566919275643,0.011820222729403777,-0.0008892559000235596,0.702175204960396,0.04246858565085613,0.005545719242698692,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 139301859000, 'total_liabilities': 133626913000}"
COIN,0.7569046284872256,original,Distress,2022-12-31,1.0,0,,0.06277993840125023,0.019230732151607505,-0.006189922386404492,1.1134348306466537,0.06472690810842575,0.007011522880617507,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 89724873000, 'total_liabilities': 84270316000}"
COIN,0.6114369748879005,original,Distress,2022-09-30,1.0,0,,0.05043582408423159,0.020531704690119435,-0.005016858978124919,0.8890248654640471,0.05330875330370698,0.005310314770039386,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 111168363000, 'total_liabilities': 105542048000}"
COIN,0.6466712351033008,original,Distress,2022-06-30,1.0,0,,0.05658531734524107,0.026805329448789623,-0.009499883296624179,0.9415447542976683,0.058335231718868404,0.007664155360964911,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 105468243000, 'total_liabilities': 99654854000}"
