Date,Dividends
1987-09-23 00:00:00-04:00,0.01755
1988-03-24 00:00:00-05:00,0.01985
1988-09-23 00:00:00-04:00,0.00935
1989-03-23 00:00:00-05:00,0.0194
1989-09-22 00:00:00-04:00,0.01925
1990-03-23 00:00:00-05:00,0.019
1990-09-21 00:00:00-04:00,0.0205
1991-03-22 00:00:00-05:00,0.021
1991-09-23 00:00:00-04:00,0.0215
1992-03-24 00:00:00-05:00,0.0255
1992-09-23 00:00:00-04:00,0.2725
1993-03-24 00:00:00-05:00,0.029
1993-09-23 00:00:00-04:00,0.03275
1994-03-24 00:00:00-05:00,0.033
1994-09-23 00:00:00-04:00,0.035
1995-03-24 00:00:00-05:00,0.0155
1995-09-27 00:00:00-04:00,0.035
1996-03-26 00:00:00-05:00,0.03075
1996-09-25 00:00:00-04:00,0.0315
1997-03-25 00:00:00-05:00,0.03275
1997-09-25 00:00:00-04:00,0.03725
1998-03-26 00:00:00-05:00,0.0345
1998-09-25 00:00:00-04:00,0.0455
1999-03-26 00:00:00-05:00,0.041
1999-09-27 00:00:00-04:00,0.05225
2000-03-28 00:00:00-05:00,0.05575
2000-09-26 00:00:00-04:00,0.05125
2001-03-27 00:00:00-05:00,0.04925
2001-09-25 00:00:00-04:00,0.05325
2002-03-26 00:00:00-05:00,0.05
2002-09-25 00:00:00-04:00,0.066
2003-03-26 00:00:00-05:00,0.068
2003-09-25 00:00:00-04:00,0.081
2004-03-26 00:00:00-05:00,0.087
2004-09-27 00:00:00-04:00,0.105
2005-03-28 00:00:00-05:00,0.134
2005-09-27 00:00:00-04:00,0.169
2006-03-28 00:00:00-05:00,0.159
2006-09-27 00:00:00-04:00,0.255
2006-12-27 00:00:00-05:00,0.145
2007-03-28 00:00:00-04:00,0.14
2007-06-27 00:00:00-04:00,0.165
2007-09-26 00:00:00-04:00,0.202
2007-12-26 00:00:00-05:00,0.197
2008-12-26 00:00:00-05:00,0.124
2011-12-27 00:00:00-05:00,0.17
2012-03-27 00:00:00-04:00,0.17
2012-06-26 00:00:00-04:00,0.22
2012-12-26 00:00:00-05:00,0.19
2013-03-26 00:00:00-04:00,0.18
2013-06-25 00:00:00-04:00,0.19
2013-09-25 00:00:00-04:00,0.18
2013-12-26 00:00:00-05:00,0.17
2014-06-25 00:00:00-04:00,0.18
2014-09-25 00:00:00-04:00,0.16
2014-12-26 00:00:00-05:00,0.16
2015-03-26 00:00:00-04:00,0.16
2015-09-25 00:00:00-04:00,0.16
2016-03-28 00:00:00-04:00,0.18
2016-06-27 00:00:00-04:00,0.19
2016-09-27 00:00:00-04:00,0.17
2016-12-27 00:00:00-05:00,0.19
2017-03-28 00:00:00-04:00,0.19
2017-12-27 00:00:00-05:00,0.19
2018-03-28 00:00:00-04:00,0.2
2018-09-26 00:00:00-04:00,0.2
2018-12-27 00:00:00-05:00,0.2
2019-03-27 00:00:00-04:00,0.21
2019-06-26 00:00:00-04:00,0.21
2019-09-26 00:00:00-04:00,0.2
2019-12-27 00:00:00-05:00,0.2
2020-03-27 00:00:00-04:00,0.21
2020-06-26 00:00:00-04:00,0.08
2020-09-28 00:00:00-04:00,0.15
2020-12-29 00:00:00-05:00,0.19
2021-03-29 00:00:00-04:00,0.39
2021-09-28 00:00:00-04:00,0.39
2022-03-29 00:00:00-04:00,0.496
2022-09-28 00:00:00-04:00,0.443
2023-03-29 00:00:00-04:00,0.43
2023-09-28 00:00:00-04:00,0.591
