Date,Dividends
1999-05-04 00:00:00-04:00,0.142
2000-05-03 00:00:00-04:00,0.127
2001-05-01 00:00:00-04:00,0.128
2002-05-01 00:00:00-04:00,0.128
2003-05-07 00:00:00-04:00,0.159
2004-05-04 00:00:00-04:00,0.244
2005-05-10 00:00:00-04:00,0.357
2006-05-05 00:00:00-04:00,0.434
2007-05-08 00:00:00-04:00,0.614
2008-05-30 00:00:00-04:00,0.779
2009-05-15 00:00:00-04:00,0.675
2010-06-04 00:00:00-04:00,0.675
2011-05-23 00:00:00-04:00,0.825
2012-05-21 00:00:00-04:00,1.478
2013-05-31 00:00:00-04:00,1.114
2014-05-22 00:00:00-04:00,1.366
2015-05-18 00:00:00-04:00,1.188
2016-05-10 00:00:00-04:00,1.31
2017-05-11 00:00:00-04:00,1.331
2018-05-18 00:00:00-04:00,1.727
2019-05-16 00:00:00-04:00,1.696
2020-05-21 00:00:00-04:00,1.712
2021-05-13 00:00:00-04:00,2.189
2022-05-19 00:00:00-04:00,2.66
2023-05-12 00:00:00-04:00,2.186
2024-05-16 00:00:00-04:00,2.385
