ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata
SIEGY,1.8130647611806383,original,Gray Zone,2025-03-31,1.0,0,,0.06468298143216497,0.25959297140713317,0.016409070501190087,1.9939218243778793,0.5791104226598806,0.12151199621139902,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 162593000000, 'total_liabilities': 99418000000}"
SIEGY,2.002731518370136,original,Gray Zone,2024-12-31,1.0,0,,0.15192423426562351,0.2731113997022584,0.013075290614804726,2.1310884866102624,0.6386114664745912,0.11626492667321275,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 157855000000, 'total_liabilities': 93019000000}"
SIEGY,2.0159279561085572,original,Gray Zone,2024-09-30,1.0,0,,0.11798771412334587,0.26829350796958296,0.017941709739398695,2.16455072488835,0.5597667638483965,0.1407937109301004,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 147812000000, 'total_liabilities': 91581000000}"
SIEGY,1.959399619332204,original,Gray Zone,2024-06-30,1.0,0,,0.11934161935174621,0.2545081386164015,0.01764098271008162,2.1234410945005036,0.5334640186815777,0.12759838240357546,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 148121000000, 'total_liabilities': 93354000000}"
SIEGY,1.936596900074171,original,Gray Zone,2024-03-31,1.0,0,,0.11944649777894453,0.24402594800726765,0.014397137152765783,2.1195586200053462,0.493974873028602,0.132379050921928,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 144751000000, 'total_liabilities': 93525000000}"
SIEGY,1.9165292812603685,original,Gray Zone,2023-12-31,1.0,0,,0.10211763730798984,0.2523828599845287,0.015782130622168194,2.110015326946822,0.4897496487418572,0.1225618852911924,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 144784000000, 'total_liabilities': 93948000000}"
SIEGY,1.9726053833672759,original,Gray Zone,2023-09-30,1.0,0,,0.10848780218795454,0.25418599681526466,0.018522475821516955,2.1545520937330176,0.51943351520553,0.1327041987495433,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 145067000000, 'total_liabilities': 92006000000}"
SIEGY,1.9196414009913054,original,Gray Zone,2023-06-30,1.0,0,,0.10296901533921661,0.2440355223963698,0.015770719077976673,2.126835684094201,0.4866906281851832,0.12628406781548399,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 143684000000, 'total_liabilities': 93205000000}"
SIEGY,1.933391913097629,original,Gray Zone,2023-03-31,1.0,0,,0.10288327727155115,0.24175332349629713,0.015545780680713581,2.140661964903945,0.48805114305152103,0.13577907228822983,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 142997000000, 'total_liabilities': 92603000000}"
SIEGY,1.988164619877744,original,Gray Zone,2022-12-31,1.0,0,,0.12025373621716264,0.2745589839434721,0.015459011040165636,2.138191348678675,0.49302124905619676,0.1255480132565362,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 143929000000, 'total_liabilities': 92710000000}"
SIEGY,1.888771487627303,original,Gray Zone,2022-09-30,1.0,0,,0.10655304880463624,0.25715172076936277,0.010633522989795514,2.0500296796798247,0.5056516748192809,0.13578698631041175,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 151502000000, 'total_liabilities': 96697000000}"
SIEGY,1.9077411100835031,original,Gray Zone,2022-06-30,1.0,0,,0.09815190289612845,0.2555552511165301,0.016652053593446035,2.0914048777852803,0.4823915428764348,0.12238677151546702,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 145988000000, 'total_liabilities': 94784000000}"
