Date,Dividends
2002-01-15 00:00:00-05:00,0.445
2003-01-21 00:00:00-05:00,0.5
2004-01-20 00:00:00-05:00,0.1435
2005-01-25 00:00:00-05:00,0.64
2006-01-24 00:00:00-05:00,0.783
2007-01-23 00:00:00-05:00,0.9305
2008-01-22 00:00:00-05:00,1.1765
2009-01-23 00:00:00-05:00,1.0115
2010-01-22 00:00:00-05:00,1.206
2011-01-21 00:00:00-05:00,1.858
2012-01-20 00:00:00-05:00,2.02
2013-01-24 00:00:00-05:00,1.9445
2013-07-18 00:00:00-04:00,1.528
2014-01-29 00:00:00-05:00,2.0465
2015-01-23 00:00:00-05:00,1.874
2016-01-22 00:00:00-05:00,1.876
2017-02-02 00:00:00-05:00,1.87
2018-02-01 00:00:00-05:00,2.179
2019-01-31 00:00:00-05:00,2.15
2020-02-06 00:00:00-05:00,2.186
2021-02-04 00:00:00-05:00,2.129
2022-02-11 00:00:00-05:00,2.264
2023-02-10 00:00:00-05:00,2.269
2024-02-09 00:00:00-05:00,2.557
